Week,"rossmann",dm
2014-05-04 - 2014-05-10,64,36
2014-05-11 - 2014-05-17,50,36
2014-05-18 - 2014-05-24,68,33
2014-05-25 - 2014-05-31,59,35
2014-06-01 - 2014-06-07,61,37
2014-06-08 - 2014-06-14,47,38
2014-06-15 - 2014-06-21,61,33
2014-06-22 - 2014-06-28,52,32
2014-06-29 - 2014-07-05,73,36
2014-07-06 - 2014-07-12,58,36
2014-07-13 - 2014-07-19,78,41
2014-07-20 - 2014-07-26,61,45
2014-07-27 - 2014-08-02,76,40
2014-08-03 - 2014-08-09,68,42
2014-08-10 - 2014-08-16,65,37
2014-08-17 - 2014-08-23,76,45
2014-08-24 - 2014-08-30,60,36
2014-08-31 - 2014-09-06,71,38
2014-09-07 - 2014-09-13,58,40
2014-09-14 - 2014-09-20,69,36
2014-09-21 - 2014-09-27,53,39
2014-09-28 - 2014-10-04,60,37
2014-10-05 - 2014-10-11,58,43
2014-10-12 - 2014-10-18,59,42
2014-10-19 - 2014-10-25,70,38
2014-10-26 - 2014-11-01,58,34
2014-11-02 - 2014-11-08,69,39
2014-11-09 - 2014-11-15,72,45
2014-11-16 - 2014-11-22,68,41
2014-11-23 - 2014-11-29,82,46
2014-11-30 - 2014-12-06,85,41
2014-12-07 - 2014-12-13,85,45
2014-12-14 - 2014-12-20,100,46
2014-12-21 - 2014-12-27,76,42
2014-12-28 - 2015-01-03,69,46
2015-01-04 - 2015-01-10,73,40
2015-01-11 - 2015-01-17,59,40
2015-01-18 - 2015-01-24,60,43
2015-01-25 - 2015-01-31,66,46
2015-02-01 - 2015-02-07,61,44
2015-02-08 - 2015-02-14,52,44
2015-02-15 - 2015-02-21,63,43
2015-02-22 - 2015-02-28,55,41
2015-03-01 - 2015-03-07,65,42
2015-03-08 - 2015-03-14,62,47
2015-03-15 - 2015-03-21,64,37
2015-03-22 - 2015-03-28,52,41
2015-03-29 - 2015-04-04,66,38
2015-04-05 - 2015-04-11,53,40
2015-04-12 - 2015-04-18,65,45
2015-04-19 - 2015-04-25,55,42
2015-04-26 - 2015-05-02,72,43
2015-05-03 - 2015-05-09,63,45
2015-05-10 - 2015-05-16,66,41
2015-05-17 - 2015-05-23,59,41
2015-05-24 - 2015-05-30,61,41
2015-05-31 - 2015-06-06,65,45
2015-06-07 - 2015-06-13,57,43
2015-06-14 - 2015-06-20,70,43
2015-06-21 - 2015-06-27,64,44
2015-06-28 - 2015-07-04,81,48
2015-07-05 - 2015-07-11,73,46
2015-07-12 - 2015-07-18,78,45
2015-07-19 - 2015-07-25,75,52
2015-07-26 - 2015-08-01,92,50
2015-08-02 - 2015-08-08,84,45
2015-08-09 - 2015-08-15,72,48
2015-08-16 - 2015-08-22,87,46
2015-08-23 - 2015-08-29,68,42
2015-08-30 - 2015-09-05,82,43
2015-09-06 - 2015-09-12,75,50
2015-09-13 - 2015-09-19,84,46
2015-09-20 - 2015-09-26,69,41
2015-09-27 - 2015-10-03,68,44
2015-10-04 - 2015-10-10,65,47
2015-10-11 - 2015-10-17,67,49
2015-10-18 - 2015-10-24,86,46


