Day,daily_rossmann
2012-07-04,38.02187959823427
2012-07-05,33.61354573177233
2012-07-06,33.61354573177233
2012-07-07,35.817712665003306
2012-07-08,36.19047619047619
2012-07-09,43.17460317460318
2012-07-10,38.730158730158735
2012-07-11,37.46031746031746
2012-07-12,36.19047619047619
2012-07-13,36.19047619047619
2012-07-14,50.15873015873016
2012-07-15,44.30213464696223
2012-07-16,51.95929372174582
2012-07-17,44.849074580875346
2012-07-18,43.208254779136
2012-07-19,36.09803563826552
2012-07-20,35.0041557704393
2012-07-21,37.73885544000486
2012-07-22,36.19047619047619
2012-07-23,43.80952380952381
2012-07-24,38.095238095238095
2012-07-25,40.0
2012-07-26,38.730158730158735
2012-07-27,36.82539682539682
2012-07-28,51.42857142857142
2012-07-29,44.30213464696223
2012-07-30,54.69399339131139
2012-07-31,43.208254779136
