Week,"rossmann",dm
2014-03-30 - 2014-04-05,38,55
2014-04-06 - 2014-04-12,31,59
2014-04-13 - 2014-04-19,38,66
2014-04-20 - 2014-04-26,33,55
2014-04-27 - 2014-05-03,43,62
2014-05-04 - 2014-05-10,41,65
2014-05-11 - 2014-05-17,34,61
2014-05-18 - 2014-05-24,40,62
2014-05-25 - 2014-05-31,32,58
2014-06-01 - 2014-06-07,38,59
2014-06-08 - 2014-06-14,34,62
2014-06-15 - 2014-06-21,42,62
2014-06-22 - 2014-06-28,32,63
2014-06-29 - 2014-07-05,43,65
2014-07-06 - 2014-07-12,37,64
2014-07-13 - 2014-07-19,39,66
2014-07-20 - 2014-07-26,34,66
2014-07-27 - 2014-08-02,45,73
2014-08-03 - 2014-08-09,41,70
2014-08-10 - 2014-08-16,39,69
2014-08-17 - 2014-08-23,39,68
2014-08-24 - 2014-08-30,38,68
2014-08-31 - 2014-09-06,42,67
2014-09-07 - 2014-09-13,36,61
2014-09-14 - 2014-09-20,38,60
2014-09-21 - 2014-09-27,31,60
2014-09-28 - 2014-10-04,38,62
2014-10-05 - 2014-10-11,36,67
2014-10-12 - 2014-10-18,33,66
2014-10-19 - 2014-10-25,38,65
2014-10-26 - 2014-11-01,36,69
2014-11-02 - 2014-11-08,42,66
2014-11-09 - 2014-11-15,39,67
2014-11-16 - 2014-11-22,36,72
2014-11-23 - 2014-11-29,43,72
2014-11-30 - 2014-12-06,49,84
2014-12-07 - 2014-12-13,46,91
2014-12-14 - 2014-12-20,54,100
2014-12-21 - 2014-12-27,44,82
2014-12-28 - 2015-01-03,39,69
2015-01-04 - 2015-01-10,43,67
2015-01-11 - 2015-01-17,40,65
2015-01-18 - 2015-01-24,38,65
2015-01-25 - 2015-01-31,43,67
2015-02-01 - 2015-02-07,40,62
2015-02-08 - 2015-02-14,40,68
2015-02-15 - 2015-02-21,41,64
2015-02-22 - 2015-02-28,35,63
2015-03-01 - 2015-03-07,40,63
2015-03-08 - 2015-03-14,34,61
2015-03-15 - 2015-03-21,41,60
2015-03-22 - 2015-03-28,32,61
2015-03-29 - 2015-04-04,46,69
2015-04-05 - 2015-04-11,38,65
2015-04-12 - 2015-04-18,40,67
2015-04-19 - 2015-04-25,36,66
2015-04-26 - 2015-05-02,39,65
2015-05-03 - 2015-05-09,43,72
2015-05-10 - 2015-05-16,36,67
2015-05-17 - 2015-05-23,40,67
2015-05-24 - 2015-05-30,35,67
2015-05-31 - 2015-06-06,45,71
2015-06-07 - 2015-06-13,38,69
2015-06-14 - 2015-06-20,45,71
2015-06-21 - 2015-06-27,39,73
2015-06-28 - 2015-07-04,47,74
2015-07-05 - 2015-07-11,43,72
2015-07-12 - 2015-07-18,48,83
2015-07-19 - 2015-07-25,40,79
2015-07-26 - 2015-08-01,46,78
2015-08-02 - 2015-08-08,46,83
2015-08-09 - 2015-08-15,44,80
2015-08-16 - 2015-08-22,47,78
2015-08-23 - 2015-08-29,41,82
2015-08-30 - 2015-09-05,44,84
