Week,"rossmann",dm
2014-12-07 - 2014-12-13,48,93
2014-12-14 - 2014-12-20,56,100
2014-12-21 - 2014-12-27,48,88
2014-12-28 - 2015-01-03,43,74
2015-01-04 - 2015-01-10,43,68
2015-01-11 - 2015-01-17,39,71
2015-01-18 - 2015-01-24,38,70
2015-01-25 - 2015-01-31,44,71
2015-02-01 - 2015-02-07,42,68
2015-02-08 - 2015-02-14,41,71
2015-02-15 - 2015-02-21,45,70
2015-02-22 - 2015-02-28,37,69
2015-03-01 - 2015-03-07,42,69
2015-03-08 - 2015-03-14,37,69
2015-03-15 - 2015-03-21,44,67
2015-03-22 - 2015-03-28,38,65
2015-03-29 - 2015-04-04,46,71
2015-04-05 - 2015-04-11,39,71
2015-04-12 - 2015-04-18,42,71
2015-04-19 - 2015-04-25,38,70
2015-04-26 - 2015-05-02,46,69
2015-05-03 - 2015-05-09,47,74
2015-05-10 - 2015-05-16,40,72
2015-05-17 - 2015-05-23,45,72
2015-05-24 - 2015-05-30,40,70
2015-05-31 - 2015-06-06,46,76
2015-06-07 - 2015-06-13,40,74
2015-06-14 - 2015-06-20,49,80
2015-06-21 - 2015-06-27,42,78
2015-06-28 - 2015-07-04,53,75
2015-07-05 - 2015-07-11,45,77
2015-07-12 - 2015-07-18,52,83
2015-07-19 - 2015-07-25,44,82
2015-07-26 - 2015-08-01,52,86
2015-08-02 - 2015-08-08,49,82
2015-08-09 - 2015-08-15,45,79
2015-08-16 - 2015-08-22,47,78
2015-08-23 - 2015-08-29,42,79
2015-08-30 - 2015-09-05,47,80
2015-09-06 - 2015-09-12,43,81
2015-09-13 - 2015-09-19,47,76
2015-09-20 - 2015-09-26,41,76
2015-09-27 - 2015-10-03,43,74
2015-10-04 - 2015-10-10,48,82
2015-10-11 - 2015-10-17,43,90
2015-10-18 - 2015-10-24,52,77


